fieldID,imagepath,labelpath
10000,PASTISFresh/DATA_S2/S2_10000.npy,PASTISFresh/ANNOTATIONS/TARGET_10000.npy
10002,PASTISFresh/DATA_S2/S2_10002.npy,PASTISFresh/ANNOTATIONS/TARGET_10002.npy
10003,PASTISFresh/DATA_S2/S2_10003.npy,PASTISFresh/ANNOTATIONS/TARGET_10003.npy
10004,PASTISFresh/DATA_S2/S2_10004.npy,PASTISFresh/ANNOTATIONS/TARGET_10004.npy
10007,PASTISFresh/DATA_S2/S2_10007.npy,PASTISFresh/ANNOTATIONS/TARGET_10007.npy
10008,PASTISFresh/DATA_S2/S2_10008.npy,PASTISFresh/ANNOTATIONS/TARGET_10008.npy
10010,PASTISFresh/DATA_S2/S2_10010.npy,PASTISFresh/ANNOTATIONS/TARGET_10010.npy
10011,PASTISFresh/DATA_S2/S2_10011.npy,PASTISFresh/ANNOTATIONS/TARGET_10011.npy
10012,PASTISFresh/DATA_S2/S2_10012.npy,PASTISFresh/ANNOTATIONS/TARGET_10012.npy
10014,PASTISFresh/DATA_S2/S2_10014.npy,PASTISFresh/ANNOTATIONS/TARGET_10014.npy
10017,PASTISFresh/DATA_S2/S2_10017.npy,PASTISFresh/ANNOTATIONS/TARGET_10017.npy
10018,PASTISFresh/DATA_S2/S2_10018.npy,PASTISFresh/ANNOTATIONS/TARGET_10018.npy
10019,PASTISFresh/DATA_S2/S2_10019.npy,PASTISFresh/ANNOTATIONS/TARGET_10019.npy
10020,PASTISFresh/DATA_S2/S2_10020.npy,PASTISFresh/ANNOTATIONS/TARGET_10020.npy
10022,PASTISFresh/DATA_S2/S2_10022.npy,PASTISFresh/ANNOTATIONS/TARGET_10022.npy
10025,PASTISFresh/DATA_S2/S2_10025.npy,PASTISFresh/ANNOTATIONS/TARGET_10025.npy
10026,PASTISFresh/DATA_S2/S2_10026.npy,PASTISFresh/ANNOTATIONS/TARGET_10026.npy
10027,PASTISFresh/DATA_S2/S2_10027.npy,PASTISFresh/ANNOTATIONS/TARGET_10027.npy
10029,PASTISFresh/DATA_S2/S2_10029.npy,PASTISFresh/ANNOTATIONS/TARGET_10029.npy
10030,PASTISFresh/DATA_S2/S2_10030.npy,PASTISFresh/ANNOTATIONS/TARGET_10030.npy
10031,PASTISFresh/DATA_S2/S2_10031.npy,PASTISFresh/ANNOTATIONS/TARGET_10031.npy
10032,PASTISFresh/DATA_S2/S2_10032.npy,PASTISFresh/ANNOTATIONS/TARGET_10032.npy
10033,PASTISFresh/DATA_S2/S2_10033.npy,PASTISFresh/ANNOTATIONS/TARGET_10033.npy
10034,PASTISFresh/DATA_S2/S2_10034.npy,PASTISFresh/ANNOTATIONS/TARGET_10034.npy
