fieldID,imagepath,labelpath,parentID
10002_0,PASTISFresh\DATA_S2\S2_10002_0.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_0.npy,10002
10002_1,PASTISFresh\DATA_S2\S2_10002_1.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_1.npy,10002
10002_2,PASTISFresh\DATA_S2\S2_10002_2.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_2.npy,10002
10002_3,PASTISFresh\DATA_S2\S2_10002_3.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_3.npy,10002
10002_4,PASTISFresh\DATA_S2\S2_10002_4.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_4.npy,10002
10002_5,PASTISFresh\DATA_S2\S2_10002_5.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_5.npy,10002
10002_6,PASTISFresh\DATA_S2\S2_10002_6.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_6.npy,10002
10002_7,PASTISFresh\DATA_S2\S2_10002_7.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_7.npy,10002
10002_8,PASTISFresh\DATA_S2\S2_10002_8.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_8.npy,10002
10002_9,PASTISFresh\DATA_S2\S2_10002_9.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_9.npy,10002
10002_10,PASTISFresh\DATA_S2\S2_10002_10.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_10.npy,10002
10002_11,PASTISFresh\DATA_S2\S2_10002_11.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_11.npy,10002
10002_12,PASTISFresh\DATA_S2\S2_10002_12.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_12.npy,10002
10002_13,PASTISFresh\DATA_S2\S2_10002_13.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_13.npy,10002
10002_14,PASTISFresh\DATA_S2\S2_10002_14.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_14.npy,10002
10002_15,PASTISFresh\DATA_S2\S2_10002_15.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_15.npy,10002
10002_16,PASTISFresh\DATA_S2\S2_10002_16.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_16.npy,10002
10002_17,PASTISFresh\DATA_S2\S2_10002_17.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_17.npy,10002
10002_18,PASTISFresh\DATA_S2\S2_10002_18.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_18.npy,10002
10002_19,PASTISFresh\DATA_S2\S2_10002_19.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_19.npy,10002
10002_20,PASTISFresh\DATA_S2\S2_10002_20.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_20.npy,10002
10002_21,PASTISFresh\DATA_S2\S2_10002_21.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_21.npy,10002
10002_22,PASTISFresh\DATA_S2\S2_10002_22.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_22.npy,10002
10002_23,PASTISFresh\DATA_S2\S2_10002_23.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_23.npy,10002
10002_24,PASTISFresh\DATA_S2\S2_10002_24.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_24.npy,10002
10003_0,PASTISFresh\DATA_S2\S2_10003_0.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_0.npy,10003
10003_1,PASTISFresh\DATA_S2\S2_10003_1.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_1.npy,10003
10003_2,PASTISFresh\DATA_S2\S2_10003_2.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_2.npy,10003
10003_3,PASTISFresh\DATA_S2\S2_10003_3.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_3.npy,10003
10003_4,PASTISFresh\DATA_S2\S2_10003_4.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_4.npy,10003
10003_5,PASTISFresh\DATA_S2\S2_10003_5.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_5.npy,10003
10003_6,PASTISFresh\DATA_S2\S2_10003_6.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_6.npy,10003
10003_7,PASTISFresh\DATA_S2\S2_10003_7.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_7.npy,10003
10003_8,PASTISFresh\DATA_S2\S2_10003_8.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_8.npy,10003
10003_9,PASTISFresh\DATA_S2\S2_10003_9.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_9.npy,10003
10003_10,PASTISFresh\DATA_S2\S2_10003_10.npy,PASTISFresh\ANNOTATIONS\TARGET_10003_10.npy,10003
