fieldID,imagepath,labelpath,datepath
89,data16/89_sits.npy,data16/89_labels.npy,data16/89_dates.npy
90,data16/90_sits.npy,data16/90_labels.npy,data16/90_dates.npy
91,data16/91_sits.npy,data16/91_labels.npy,data16/91_dates.npy
92,data16/92_sits.npy,data16/92_labels.npy,data16/92_dates.npy
97,data16/97_sits.npy,data16/97_labels.npy,data16/97_dates.npy
98,data16/98_sits.npy,data16/98_labels.npy,data16/98_dates.npy
99,data16/99_sits.npy,data16/99_labels.npy,data16/99_dates.npy
100,data16/100_sits.npy,data16/100_labels.npy,data16/100_dates.npy
101,data16/101_sits.npy,data16/101_labels.npy,data16/101_dates.npy
105,data16/105_sits.npy,data16/105_labels.npy,data16/105_dates.npy
106,data16/106_sits.npy,data16/106_labels.npy,data16/106_dates.npy
107,data16/107_sits.npy,data16/107_labels.npy,data16/107_dates.npy
108,data16/108_sits.npy,data16/108_labels.npy,data16/108_dates.npy
109,data16/109_sits.npy,data16/109_labels.npy,data16/109_dates.npy
110,data16/110_sits.npy,data16/110_labels.npy,data16/110_dates.npy
113,data16/113_sits.npy,data16/113_labels.npy,data16/113_dates.npy
114,data16/114_sits.npy,data16/114_labels.npy,data16/114_dates.npy
115,data16/115_sits.npy,data16/115_labels.npy,data16/115_dates.npy
116,data16/116_sits.npy,data16/116_labels.npy,data16/116_dates.npy
117,data16/117_sits.npy,data16/117_labels.npy,data16/117_dates.npy
118,data16/118_sits.npy,data16/118_labels.npy,data16/118_dates.npy
137,data16/137_sits.npy,data16/137_labels.npy,data16/137_dates.npy
138,data16/138_sits.npy,data16/138_labels.npy,data16/138_dates.npy
139,data16/139_sits.npy,data16/139_labels.npy,data16/139_dates.npy
140,data16/140_sits.npy,data16/140_labels.npy,data16/140_dates.npy
141,data16/141_sits.npy,data16/141_labels.npy,data16/141_dates.npy
142,data16/142_sits.npy,data16/142_labels.npy,data16/142_dates.npy
145,data16/145_sits.npy,data16/145_labels.npy,data16/145_dates.npy
146,data16/146_sits.npy,data16/146_labels.npy,data16/146_dates.npy
147,data16/147_sits.npy,data16/147_labels.npy,data16/147_dates.npy
148,data16/148_sits.npy,data16/148_labels.npy,data16/148_dates.npy
149,data16/149_sits.npy,data16/149_labels.npy,data16/149_dates.npy
150,data16/150_sits.npy,data16/150_labels.npy,data16/150_dates.npy
161,data16/161_sits.npy,data16/161_labels.npy,data16/161_dates.npy
162,data16/162_sits.npy,data16/162_labels.npy,data16/162_dates.npy
163,data16/163_sits.npy,data16/163_labels.npy,data16/163_dates.npy
165,data16/165_sits.npy,data16/165_labels.npy,data16/165_dates.npy
166,data16/166_sits.npy,data16/166_labels.npy,data16/166_dates.npy
176,data16/176_sits.npy,data16/176_labels.npy,data16/176_dates.npy
177,data16/177_sits.npy,data16/177_labels.npy,data16/177_dates.npy
178,data16/178_sits.npy,data16/178_labels.npy,data16/178_dates.npy
179,data16/179_sits.npy,data16/179_labels.npy,data16/179_dates.npy
184,data16/184_sits.npy,data16/184_labels.npy,data16/184_dates.npy
186,data16/186_sits.npy,data16/186_labels.npy,data16/186_dates.npy
188,data16/188_sits.npy,data16/188_labels.npy,data16/188_dates.npy
189,data16/189_sits.npy,data16/189_labels.npy,data16/189_dates.npy
192,data16/192_sits.npy,data16/192_labels.npy,data16/192_dates.npy
193,data16/193_sits.npy,data16/193_labels.npy,data16/193_dates.npy
194,data16/194_sits.npy,data16/194_labels.npy,data16/194_dates.npy
196,data16/196_sits.npy,data16/196_labels.npy,data16/196_dates.npy
197,data16/197_sits.npy,data16/197_labels.npy,data16/197_dates.npy
