fieldID,imagepath,labelpath,parentID
10000_0,PASTISFresh\DATA_S2\S2_10000_0.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_0.npy,10000
10000_1,PASTISFresh\DATA_S2\S2_10000_1.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_1.npy,10000
10000_2,PASTISFresh\DATA_S2\S2_10000_2.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_2.npy,10000
10000_3,PASTISFresh\DATA_S2\S2_10000_3.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_3.npy,10000
10000_4,PASTISFresh\DATA_S2\S2_10000_4.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_4.npy,10000
10000_5,PASTISFresh\DATA_S2\S2_10000_5.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_5.npy,10000
10000_6,PASTISFresh\DATA_S2\S2_10000_6.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_6.npy,10000
10000_7,PASTISFresh\DATA_S2\S2_10000_7.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_7.npy,10000
10000_8,PASTISFresh\DATA_S2\S2_10000_8.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_8.npy,10000
10000_9,PASTISFresh\DATA_S2\S2_10000_9.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_9.npy,10000
10000_10,PASTISFresh\DATA_S2\S2_10000_10.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_10.npy,10000
10000_11,PASTISFresh\DATA_S2\S2_10000_11.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_11.npy,10000
10000_12,PASTISFresh\DATA_S2\S2_10000_12.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_12.npy,10000
10000_13,PASTISFresh\DATA_S2\S2_10000_13.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_13.npy,10000
10000_14,PASTISFresh\DATA_S2\S2_10000_14.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_14.npy,10000
10000_15,PASTISFresh\DATA_S2\S2_10000_15.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_15.npy,10000
10000_16,PASTISFresh\DATA_S2\S2_10000_16.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_16.npy,10000
10000_17,PASTISFresh\DATA_S2\S2_10000_17.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_17.npy,10000
10000_18,PASTISFresh\DATA_S2\S2_10000_18.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_18.npy,10000
10000_19,PASTISFresh\DATA_S2\S2_10000_19.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_19.npy,10000
10000_20,PASTISFresh\DATA_S2\S2_10000_20.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_20.npy,10000
10000_21,PASTISFresh\DATA_S2\S2_10000_21.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_21.npy,10000
10000_22,PASTISFresh\DATA_S2\S2_10000_22.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_22.npy,10000
10000_23,PASTISFresh\DATA_S2\S2_10000_23.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_23.npy,10000
10000_24,PASTISFresh\DATA_S2\S2_10000_24.npy,PASTISFresh\ANNOTATIONS\TARGET_10000_24.npy,10000
10002_0,PASTISFresh\DATA_S2\S2_10002_0.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_0.npy,10002
10002_1,PASTISFresh\DATA_S2\S2_10002_1.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_1.npy,10002
10002_2,PASTISFresh\DATA_S2\S2_10002_2.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_2.npy,10002
10002_3,PASTISFresh\DATA_S2\S2_10002_3.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_3.npy,10002
10002_4,PASTISFresh\DATA_S2\S2_10002_4.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_4.npy,10002
10002_5,PASTISFresh\DATA_S2\S2_10002_5.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_5.npy,10002
10002_6,PASTISFresh\DATA_S2\S2_10002_6.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_6.npy,10002
10002_7,PASTISFresh\DATA_S2\S2_10002_7.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_7.npy,10002
10002_8,PASTISFresh\DATA_S2\S2_10002_8.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_8.npy,10002
10002_9,PASTISFresh\DATA_S2\S2_10002_9.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_9.npy,10002
10002_10,PASTISFresh\DATA_S2\S2_10002_10.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_10.npy,10002
10002_11,PASTISFresh\DATA_S2\S2_10002_11.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_11.npy,10002
10002_12,PASTISFresh\DATA_S2\S2_10002_12.npy,PASTISFresh\ANNOTATIONS\TARGET_10002_12.npy,10002
