fieldID,imagepath,labelpath
10000,PASTISFresh/DATA_S2/S2_10000.npy,PASTISFresh/ANNOTATIONS/TARGET_10000.npy
10001,PASTISFresh/DATA_S2/S2_10001.npy,PASTISFresh/ANNOTATIONS/TARGET_10001.npy
10005,PASTISFresh/DATA_S2/S2_10005.npy,PASTISFresh/ANNOTATIONS/TARGET_10005.npy
10006,PASTISFresh/DATA_S2/S2_10006.npy,PASTISFresh/ANNOTATIONS/TARGET_10006.npy
10007,PASTISFresh/DATA_S2/S2_10007.npy,PASTISFresh/ANNOTATIONS/TARGET_10007.npy
10009,PASTISFresh/DATA_S2/S2_10009.npy,PASTISFresh/ANNOTATIONS/TARGET_10009.npy
10013,PASTISFresh/DATA_S2/S2_10013.npy,PASTISFresh/ANNOTATIONS/TARGET_10013.npy
10015,PASTISFresh/DATA_S2/S2_10015.npy,PASTISFresh/ANNOTATIONS/TARGET_10015.npy
10016,PASTISFresh/DATA_S2/S2_10016.npy,PASTISFresh/ANNOTATIONS/TARGET_10016.npy
10021,PASTISFresh/DATA_S2/S2_10021.npy,PASTISFresh/ANNOTATIONS/TARGET_10021.npy
10023,PASTISFresh/DATA_S2/S2_10023.npy,PASTISFresh/ANNOTATIONS/TARGET_10023.npy
10024,PASTISFresh/DATA_S2/S2_10024.npy,PASTISFresh/ANNOTATIONS/TARGET_10024.npy
10028,PASTISFresh/DATA_S2/S2_10028.npy,PASTISFresh/ANNOTATIONS/TARGET_10028.npy
10030,PASTISFresh/DATA_S2/S2_10030.npy,PASTISFresh/ANNOTATIONS/TARGET_10030.npy
10033,PASTISFresh/DATA_S2/S2_10033.npy,PASTISFresh/ANNOTATIONS/TARGET_10033.npy
10040,PASTISFresh/DATA_S2/S2_10040.npy,PASTISFresh/ANNOTATIONS/TARGET_10040.npy
10041,PASTISFresh/DATA_S2/S2_10041.npy,PASTISFresh/ANNOTATIONS/TARGET_10041.npy
10043,PASTISFresh/DATA_S2/S2_10043.npy,PASTISFresh/ANNOTATIONS/TARGET_10043.npy
10044,PASTISFresh/DATA_S2/S2_10044.npy,PASTISFresh/ANNOTATIONS/TARGET_10044.npy
10046,PASTISFresh/DATA_S2/S2_10046.npy,PASTISFresh/ANNOTATIONS/TARGET_10046.npy
10048,PASTISFresh/DATA_S2/S2_10048.npy,PASTISFresh/ANNOTATIONS/TARGET_10048.npy
10050,PASTISFresh/DATA_S2/S2_10050.npy,PASTISFresh/ANNOTATIONS/TARGET_10050.npy
10053,PASTISFresh/DATA_S2/S2_10053.npy,PASTISFresh/ANNOTATIONS/TARGET_10053.npy
10054,PASTISFresh/DATA_S2/S2_10054.npy,PASTISFresh/ANNOTATIONS/TARGET_10054.npy
10056,PASTISFresh/DATA_S2/S2_10056.npy,PASTISFresh/ANNOTATIONS/TARGET_10056.npy
10057,PASTISFresh/DATA_S2/S2_10057.npy,PASTISFresh/ANNOTATIONS/TARGET_10057.npy
10058,PASTISFresh/DATA_S2/S2_10058.npy,PASTISFresh/ANNOTATIONS/TARGET_10058.npy
10059,PASTISFresh/DATA_S2/S2_10059.npy,PASTISFresh/ANNOTATIONS/TARGET_10059.npy
10060,PASTISFresh/DATA_S2/S2_10060.npy,PASTISFresh/ANNOTATIONS/TARGET_10060.npy
10063,PASTISFresh/DATA_S2/S2_10063.npy,PASTISFresh/ANNOTATIONS/TARGET_10063.npy
10064,PASTISFresh/DATA_S2/S2_10064.npy,PASTISFresh/ANNOTATIONS/TARGET_10064.npy
10065,PASTISFresh/DATA_S2/S2_10065.npy,PASTISFresh/ANNOTATIONS/TARGET_10065.npy
10068,PASTISFresh/DATA_S2/S2_10068.npy,PASTISFresh/ANNOTATIONS/TARGET_10068.npy
10070,PASTISFresh/DATA_S2/S2_10070.npy,PASTISFresh/ANNOTATIONS/TARGET_10070.npy
10071,PASTISFresh/DATA_S2/S2_10071.npy,PASTISFresh/ANNOTATIONS/TARGET_10071.npy
10074,PASTISFresh/DATA_S2/S2_10074.npy,PASTISFresh/ANNOTATIONS/TARGET_10074.npy
10075,PASTISFresh/DATA_S2/S2_10075.npy,PASTISFresh/ANNOTATIONS/TARGET_10075.npy
10076,PASTISFresh/DATA_S2/S2_10076.npy,PASTISFresh/ANNOTATIONS/TARGET_10076.npy
10077,PASTISFresh/DATA_S2/S2_10077.npy,PASTISFresh/ANNOTATIONS/TARGET_10077.npy
10078,PASTISFresh/DATA_S2/S2_10078.npy,PASTISFresh/ANNOTATIONS/TARGET_10078.npy
10079,PASTISFresh/DATA_S2/S2_10079.npy,PASTISFresh/ANNOTATIONS/TARGET_10079.npy
10085,PASTISFresh/DATA_S2/S2_10085.npy,PASTISFresh/ANNOTATIONS/TARGET_10085.npy
10086,PASTISFresh/DATA_S2/S2_10086.npy,PASTISFresh/ANNOTATIONS/TARGET_10086.npy
10087,PASTISFresh/DATA_S2/S2_10087.npy,PASTISFresh/ANNOTATIONS/TARGET_10087.npy
10089,PASTISFresh/DATA_S2/S2_10089.npy,PASTISFresh/ANNOTATIONS/TARGET_10089.npy
10092,PASTISFresh/DATA_S2/S2_10092.npy,PASTISFresh/ANNOTATIONS/TARGET_10092.npy
10094,PASTISFresh/DATA_S2/S2_10094.npy,PASTISFresh/ANNOTATIONS/TARGET_10094.npy
10097,PASTISFresh/DATA_S2/S2_10097.npy,PASTISFresh/ANNOTATIONS/TARGET_10097.npy
10103,PASTISFresh/DATA_S2/S2_10103.npy,PASTISFresh/ANNOTATIONS/TARGET_10103.npy
10105,PASTISFresh/DATA_S2/S2_10105.npy,PASTISFresh/ANNOTATIONS/TARGET_10105.npy
10106,PASTISFresh/DATA_S2/S2_10106.npy,PASTISFresh/ANNOTATIONS/TARGET_10106.npy
10107,PASTISFresh/DATA_S2/S2_10107.npy,PASTISFresh/ANNOTATIONS/TARGET_10107.npy
10110,PASTISFresh/DATA_S2/S2_10110.npy,PASTISFresh/ANNOTATIONS/TARGET_10110.npy
10116,PASTISFresh/DATA_S2/S2_10116.npy,PASTISFresh/ANNOTATIONS/TARGET_10116.npy
10118,PASTISFresh/DATA_S2/S2_10118.npy,PASTISFresh/ANNOTATIONS/TARGET_10118.npy
10119,PASTISFresh/DATA_S2/S2_10119.npy,PASTISFresh/ANNOTATIONS/TARGET_10119.npy
10120,PASTISFresh/DATA_S2/S2_10120.npy,PASTISFresh/ANNOTATIONS/TARGET_10120.npy
10125,PASTISFresh/DATA_S2/S2_10125.npy,PASTISFresh/ANNOTATIONS/TARGET_10125.npy
