fieldID,imagepath,labelpath,parentID
10001_0,PASTISFresh\DATA_S2\S2_10001_0.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_0.npy,10001
10001_1,PASTISFresh\DATA_S2\S2_10001_1.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_1.npy,10001
10001_2,PASTISFresh\DATA_S2\S2_10001_2.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_2.npy,10001
10001_3,PASTISFresh\DATA_S2\S2_10001_3.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_3.npy,10001
10001_4,PASTISFresh\DATA_S2\S2_10001_4.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_4.npy,10001
10001_5,PASTISFresh\DATA_S2\S2_10001_5.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_5.npy,10001
10001_6,PASTISFresh\DATA_S2\S2_10001_6.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_6.npy,10001
10001_7,PASTISFresh\DATA_S2\S2_10001_7.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_7.npy,10001
10001_8,PASTISFresh\DATA_S2\S2_10001_8.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_8.npy,10001
10001_9,PASTISFresh\DATA_S2\S2_10001_9.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_9.npy,10001
10001_10,PASTISFresh\DATA_S2\S2_10001_10.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_10.npy,10001
10001_11,PASTISFresh\DATA_S2\S2_10001_11.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_11.npy,10001
10001_12,PASTISFresh\DATA_S2\S2_10001_12.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_12.npy,10001
10001_13,PASTISFresh\DATA_S2\S2_10001_13.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_13.npy,10001
10001_14,PASTISFresh\DATA_S2\S2_10001_14.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_14.npy,10001
10001_15,PASTISFresh\DATA_S2\S2_10001_15.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_15.npy,10001
10001_16,PASTISFresh\DATA_S2\S2_10001_16.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_16.npy,10001
10001_17,PASTISFresh\DATA_S2\S2_10001_17.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_17.npy,10001
10001_18,PASTISFresh\DATA_S2\S2_10001_18.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_18.npy,10001
10001_19,PASTISFresh\DATA_S2\S2_10001_19.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_19.npy,10001
10001_20,PASTISFresh\DATA_S2\S2_10001_20.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_20.npy,10001
10001_21,PASTISFresh\DATA_S2\S2_10001_21.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_21.npy,10001
10001_22,PASTISFresh\DATA_S2\S2_10001_22.npy,PASTISFresh\ANNOTATIONS\TARGET_10001_22.npy,10001
